"respname"	"contrast"	"diff"	"lwr"	"upr"	"p.adj"
"Community biomass (g)"	"4_S-2_S"	"-14.6057777777777"	"-36.198006202641"	"6.98645064708553"	"0.510203181847796"
"Community biomass (g)"	"5_N-2_S"	"-58.562"	"-79.5783318827682"	"-37.5456681172318"	"2.70561351101151e-13"
"Community biomass (g)"	"5_P-2_S"	"-57.154"	"-78.1703318827682"	"-36.1376681172318"	"5.75539615965681e-13"
"Community biomass (g)"	"5_S-2_S"	"-23.78"	"-44.7963318827682"	"-2.76366811723175"	"0.0130903854847454"
"Community biomass (g)"	"4_P-4_N"	"1.68999999999998"	"-19.3263318827682"	"22.7063318827682"	"0.99999999609395"
"Community biomass (g)"	"4_S-4_N"	"46.9902222222222"	"25.3979937973589"	"68.5824506470855"	"4.26371649098201e-09"
"Community biomass (g)"	"5_N-4_N"	"3.03399999999998"	"-17.9823318827682"	"24.0503318827682"	"0.999997977570935"
"Community biomass (g)"	"5_P-4_N"	"4.44199999999999"	"-16.5743318827682"	"25.4583318827682"	"0.999901166632595"
"Community biomass (g)"	"5_S-4_N"	"37.816"	"16.7996681172318"	"58.8323318827682"	"1.70858631409754e-06"
"Community biomass (g)"	"4_S-4_P"	"45.3002222222222"	"23.707993797359"	"66.8924506470855"	"1.53224702925669e-08"
"Community biomass (g)"	"5_N-4_P"	"1.344"	"-19.6723318827682"	"22.3603318827682"	"0.999999999675756"
"Community biomass (g)"	"5_P-4_P"	"2.75200000000001"	"-18.2643318827682"	"23.7683318827682"	"0.999999274546319"
"Community biomass (g)"	"5_S-4_P"	"36.126"	"15.1096681172318"	"57.1423318827682"	"5.74795917118731e-06"
"Community biomass (g)"	"5_N-4_S"	"-43.9562222222222"	"-65.5484506470855"	"-22.363993797359"	"4.18969117177426e-08"
"Community biomass (g)"	"5_P-4_S"	"-42.5482222222222"	"-64.1404506470855"	"-20.9559937973589"	"1.18741603105654e-07"
"Community biomass (g)"	"5_S-4_S"	"-9.17422222222221"	"-30.7664506470855"	"12.4180062026411"	"0.95689555356672"
"Community biomass (g)"	"5_P-5_N"	"1.40800000000001"	"-19.6083318827682"	"22.4243318827682"	"0.999999999461902"
"Community biomass (g)"	"5_S-5_N"	"34.782"	"13.7656681172318"	"55.7983318827682"	"1.47743945038137e-05"
"Community biomass (g)"	"5_S-5_P"	"33.374"	"12.3576681172318"	"54.3903318827682"	"3.88712862645635e-05"
"Soil moisture (%)"	"2-1"	"-1.08264285714286"	"-5.51542441692424"	"3.35013870263853"	"0.919871696430928"
"Soil moisture (%)"	"4-1"	"1.12915024630541"	"-3.34037495079638"	"5.59867544340721"	"0.912246150379034"
"Soil moisture (%)"	"5-1"	"0.575357142857143"	"-3.85742441692424"	"5.00813870263853"	"0.986582805788484"
"Soil moisture (%)"	"4-2"	"2.21179310344827"	"-2.18127925159049"	"6.60486545848704"	"0.556689850040303"
