expt	potid	bk	julydate	comptrt	densitytrt	mivi	pavi	sobi	weed	total	percmivibiom	percweed	miviind	paviind	sobiind	percmiviind	miviperind	paviperind	sobiperind	nhdi	nodi	totdi	ammonifd	nitrifd	minzd	soilmoi	notes
E4	84	6	20	N	L3	8.05	NA	NA	0.16	8.21	98	2	2	0	0	33	4.03	NA	NA	4.6353	55.3013	59.9366	0.0149	-0.1994	-0.1845	79.37	NA
E4	85	6	20	N	L4	15.17	NA	NA	0	15.17	100	0	1	0	0	17	15.17	NA	NA	7.3747	47.083	54.4578	0.0215	0.0654	0.0869	78.26	NA
E4	87	6	20	S	L1	3.03	NA	75.16	0	78.19	4	0	5	0	1	83	0.61	NA	75.16	5.9024	60.0126	65.9149	0.0162	0.1045	0.1207	80.15	NA
E4	88	6	20	S	L2	2.86	NA	89.15	0	92.01	3	0	4	0	2	67	0.72	NA	44.58	2.0076	25.4942	27.5018	0.0049	0.0656	0.0705	52.26	NA
E4	89	6	20	S	L3	0.67	NA	80.51	0	81.18	1	0	2	0	4	33	0.34	NA	20.13	5.9103	48.0526	53.9629	0.0132	0.0209	0.0341	74.81	NA
E4	90	6	20	S	L4	0.31	NA	88.37	0	88.68	0	0	1	0	5	17	0.31	NA	17.67	7.6089	49.9537	57.5626	0.021	0.0357	0.0567	76.98	NA
E4	92	6	20	P	L1	28.45	3.15	NA	0	31.6	90	0	5	1	0	83	5.69	3.15	NA	2.9659	54.2943	57.2602	0.0068	0.1713	0.1781	73.99	NA
E4	93	6	20	P	L2	19.12	12	NA	0	31.12	61	0	4	2	0	67	4.78	6	NA	4.42	66.4599	70.8799	0.0131	0.1996	0.2127	80.62	NA
E4	94	6	20	P	L3	15.19	21.13	NA	0	36.32	42	0	2	4	0	33	7.6	5.28	NA	7.9857	38.6947	46.6804	0.0237	0.1188	0.1425	72.53	NA
E4	95	6	20	P	L4	7.97	24.16	NA	0	32.13	25	0	1	5	0	17	7.97	4.83	NA	15.1785	59.0035	74.1821	0.0507	0.0406	0.0913	81.07	NA
E4	98	7	22	N	L1	36.81	NA	NA	0	36.81	100	0	5	0	0	83	7.36	NA	NA	8.7562	50.0524	58.8086	0.0251	0.0029	0.028	78.21	NA
E4	99	7	22	N	L2	33.43	NA	NA	0	33.43	100	0	4	0	0	67	8.36	NA	NA	32.8182	32.4397	65.2578	0.1057	-0.0354	0.0703	80.52	NA
E4	100	7	22	N	L3	24.05	NA	NA	0	24.05	100	0	2	0	0	33	12.03	NA	NA	5.8605	38.5258	44.3863	0.0141	0.0889	0.103	72.93	NA
E4	101	7	22	N	L4	15.05	NA	NA	0	15.05	100	0	1	0	0	17	15.05	NA	NA	4.659	55.7273	60.3863	0.0093	0.1443	0.1536	81.63	NA
E4	103	7	22	S	L1	4.73	NA	84.22	0	88.95	5	0	5	0	1	83	0.95	NA	84.22	4.4963	48.2105	52.7068	0.0093	0.0756	0.0849	76.95	NA
