expt	potid	bk	comptrt	densitytrt	mivi	pavi	sobi	weed	total	percmivi	percpavi	percsobi	percweed	nhdi	nodi	totdi	percnodi	ammonifd	nitrifd	minzd	hdate	soilmoi	weedpres
E4	106	7	S	L4	0.03	NA	116.23	0.00	116.26	0	0	100	0	2.3910	30.3723	32.7633	92.7023	0.0019	0.0762	0.0780	7/22/11	59.26	W
E4	107	7	S	L5	NA	NA	114.61	0.00	114.61	0	0	100	0	2.4698	33.1456	35.6154	93.0653	0.0019	0.0786	0.0804	7/22/11	65.31	W
E4	108	7	P	L1	25.25	3.57	NA	0.00	28.82	88	12	0	0	13.4556	18.7222	32.1778	58.1836	0.0378	-0.1087	-0.0709	7/22/11	75.77	NW
E4	109	7	P	L2	24.08	4.31	NA	0.00	28.39	85	15	0	0	8.0173	51.9096	59.9269	86.6215	0.0216	-0.0093	0.0123	7/22/11	80.32	NW
E4	110	7	P	L3	10.86	36.66	NA	0.07	47.59	23	77	0	0	8.1470	53.8702	62.0173	86.8633	0.0211	-0.1015	-0.0804	7/22/11	81.34	W
E4	111	7	P	L4	4.47	26.93	NA	0.41	31.81	14	85	0	1	22.0964	41.2479	63.3443	65.1170	0.0677	-0.1217	-0.0540	7/22/11	79.55	W
E4	112	7	P	L5	NA	26.87	NA	0.00	26.87	0	100	0	0	13.7182	41.9796	55.6977	75.3703	0.0390	0.0272	0.0662	7/22/11	81.03	NW
E4	113	8	N	L0	41.66	NA	NA	0.14	41.80	100	0	0	0	5.8624	46.0081	51.8705	88.6980	0.0122	0.1129	0.1251	7/22/11	81.34	W
E4	114	8	N	L1	27.75	NA	NA	0.00	27.75	100	0	0	0	8.9126	39.5883	48.5009	81.6238	0.0239	0.0793	0.1032	7/22/11	80.15	NW
E4	115	8	N	L2	35.08	NA	NA	0.00	35.08	100	0	0	0	16.1506	47.0800	63.2306	74.4576	0.0451	-0.0594	-0.0142	7/22/11	83.69	NW
E4	116	8	N	L3	20.72	NA	NA	0.00	20.72	100	0	0	0	10.3058	46.9393	57.2451	81.9970	0.0222	-0.1179	-0.0956	7/22/11	81.99	NW
E4	117	8	N	L4	36.40	NA	NA	0.00	36.40	100	0	0	0	1.3472	34.6087	35.9559	96.2533	-0.0028	0.0657	0.0628	7/22/11	80.14	NW
